,Date,Price (Euros)
0,06.08.2022,5.45
1,07.08.2022,3.0
2,08.08.2022,4.99
3,11.08.2022,5.49
4,12.08.2022,3.95
5,13.08.2022,3.48
6,15.08.2022,3.76
7,16.08.2022,4.15
8,17.08.2022,2.6
9,19.08.2022,4.99
10,20.08.2022,3.69
11,21.08.2022,5.47
12,23.08.2022,4.54
13,24.08.2022,4.9
14,25.08.2022,7.85
15,26.08.2022,4.16
16,27.08.2022,4.59
17,29.08.2022,2.4
18,01.09.2022,4.32
19,02.09.2022,1.5
20,05.09.2022,3.68
21,06.09.2022,6.37
22,08.09.2022,4.75
23,10.09.2022,3.2
24,12.09.2022,4.94
25,15.09.2022,5.08
26,16.09.2022,6.08
27,18.09.2022,3.7
28,19.09.2022,4.96
29,21.09.2022,3.74
