,Date,Price (Euros)
0,02.07.2022,0.84
1,03.07.2022,1.2
2,04.07.2022,3.0
3,06.07.2022,3.48
4,11.07.2022,0.79
5,12.07.2022,0.94
6,15.07.2022,1.3
7,17.07.2022,1.95
8,26.07.2022,6.65
9,27.07.2022,7.9
10,28.07.2022,0.9
11,30.07.2022,0.93
12,09.08.2022,1.8
13,10.08.2022,1.25
14,14.08.2022,6.52
15,15.08.2022,0.8
16,17.08.2022,6.7
17,18.08.2022,1.89
18,19.08.2022,1.24
19,23.08.2022,2.95
20,30.08.2022,1.95
21,01.09.2022,2.99
22,05.09.2022,9.9
23,06.09.2022,4.99
24,10.09.2022,0.8
25,12.09.2022,1.94
26,14.09.2022,0.99
27,15.09.2022,1.9
28,16.09.2022,1.23
29,19.09.2022,2.9
