,Date,Price (Euros)
0,06.05.2022,0.33
1,08.05.2022,0.12
2,09.05.2022,0.02
3,11.05.2022,0.1
4,16.05.2022,0.08
5,18.05.2022,0.11
6,19.05.2022,0.2
7,20.05.2022,0.07
8,30.05.2022,0.02
9,02.06.2022,0.19
10,05.06.2022,0.07
11,14.06.2022,0.19
12,15.06.2022,0.22
13,16.06.2022,0.1
14,22.06.2022,0.07
15,27.06.2022,0.13
16,05.07.2022,0.02
17,06.07.2022,0.02
18,08.07.2022,0.02
19,22.07.2022,0.1
20,27.07.2022,0.19
21,28.07.2022,0.1
22,10.08.2022,0.04
23,13.08.2022,0.05
24,24.08.2022,0.03
25,29.08.2022,0.05
26,01.09.2022,0.05
27,02.09.2022,0.02
28,20.09.2022,0.14
29,21.09.2022,0.02
