,Date,Price (Euros)
0,08.08.2022,0.5
1,09.08.2022,0.15
2,10.08.2022,0.39
3,11.08.2022,0.28
4,14.08.2022,0.03
5,15.08.2022,0.05
6,16.08.2022,0.14
7,17.08.2022,0.09
8,18.08.2022,0.1
9,19.08.2022,0.02
10,20.08.2022,0.09
11,21.08.2022,0.31
12,23.08.2022,0.18
13,24.08.2022,0.05
14,28.08.2022,0.49
15,01.09.2022,0.21
16,04.09.2022,0.05
17,06.09.2022,0.02
18,07.09.2022,0.09
19,08.09.2022,0.19
20,10.09.2022,0.46
21,12.09.2022,0.27
22,13.09.2022,0.09
23,15.09.2022,0.08
24,16.09.2022,0.27
25,17.09.2022,0.18
26,18.09.2022,0.02
27,20.09.2022,0.05
28,21.09.2022,0.15
29,22.09.2022,0.02
