,Date,Price (Euros)
0,18.08.2022,0.05
1,19.08.2022,0.1
2,20.08.2022,0.02
3,21.08.2022,0.02
4,22.08.2022,0.14
5,23.08.2022,0.05
6,24.08.2022,0.17
7,26.08.2022,0.14
8,27.08.2022,0.02
9,29.08.2022,0.02
10,30.08.2022,0.09
11,01.09.2022,0.17
12,02.09.2022,0.18
13,03.09.2022,0.09
14,04.09.2022,0.02
15,05.09.2022,0.05
16,07.09.2022,0.03
17,08.09.2022,0.04
18,09.09.2022,0.07
19,10.09.2022,0.09
20,11.09.2022,0.02
21,12.09.2022,0.29
22,13.09.2022,0.12
23,14.09.2022,0.08
24,15.09.2022,0.12
25,16.09.2022,0.14
26,18.09.2022,0.12
27,19.09.2022,0.14
28,20.09.2022,0.08
29,21.09.2022,0.12
