,Date,Price (Euros)
0,12.07.2022,0.05
1,14.07.2022,0.05
2,18.07.2022,0.11
3,19.07.2022,0.02
4,20.07.2022,0.29
5,26.07.2022,0.03
6,28.07.2022,0.2
7,30.07.2022,0.09
8,31.07.2022,0.02
9,01.08.2022,0.08
10,03.08.2022,0.25
11,04.08.2022,0.06
12,05.08.2022,0.02
13,09.08.2022,0.1
14,10.08.2022,0.09
15,12.08.2022,0.02
16,14.08.2022,0.02
17,16.08.2022,0.2
18,24.08.2022,0.02
19,30.08.2022,0.02
20,02.09.2022,0.02
21,04.09.2022,0.02
22,06.09.2022,0.25
23,09.09.2022,0.1
24,12.09.2022,0.02
25,15.09.2022,0.08
26,17.09.2022,0.05
27,18.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.03
