,Date,Price (Euros)
0,17.08.2022,0.6
1,18.08.2022,1.0
2,19.08.2022,0.56
3,20.08.2022,0.55
4,21.08.2022,0.75
5,22.08.2022,0.67
6,23.08.2022,1.09
7,24.08.2022,0.89
8,25.08.2022,0.28
9,26.08.2022,0.64
10,27.08.2022,0.76
11,28.08.2022,0.7
12,29.08.2022,0.28
13,30.08.2022,1.38
14,31.08.2022,1.95
15,01.09.2022,0.64
16,02.09.2022,1.05
17,04.09.2022,0.74
18,05.09.2022,0.98
19,06.09.2022,0.99
20,09.09.2022,0.97
21,10.09.2022,0.29
22,11.09.2022,1.09
23,12.09.2022,0.66
24,14.09.2022,0.7
25,15.09.2022,0.93
26,16.09.2022,0.2
27,17.09.2022,0.78
28,18.09.2022,0.3
29,20.09.2022,1.24
