,Date,Price (Euros)
0,27.07.2022,0.05
1,28.07.2022,0.22
2,29.07.2022,0.02
3,30.07.2022,0.02
4,02.08.2022,0.07
5,04.08.2022,0.1
6,06.08.2022,0.03
7,07.08.2022,0.08
8,08.08.2022,0.02
9,13.08.2022,0.02
10,14.08.2022,0.14
11,15.08.2022,0.11
12,17.08.2022,0.07
13,18.08.2022,0.05
14,19.08.2022,0.05
15,22.08.2022,0.02
16,27.08.2022,0.03
17,29.08.2022,0.02
18,03.09.2022,0.02
19,05.09.2022,0.19
20,06.09.2022,0.02
21,09.09.2022,0.05
22,10.09.2022,0.19
23,13.09.2022,0.13
24,14.09.2022,0.09
25,15.09.2022,0.02
26,16.09.2022,0.02
27,17.09.2022,0.09
28,19.09.2022,0.14
29,21.09.2022,0.09
