,Date,Price (Euros)
0,21.08.2022,5.52
1,22.08.2022,9.0
2,23.08.2022,4.92
3,24.08.2022,6.09
4,25.08.2022,6.16
5,26.08.2022,10.0
6,27.08.2022,8.63
7,28.08.2022,4.61
8,29.08.2022,4.7
9,30.08.2022,4.1
10,31.08.2022,4.84
11,01.09.2022,5.53
12,02.09.2022,4.46
13,03.09.2022,4.5
14,04.09.2022,6.04
15,05.09.2022,6.0
16,06.09.2022,5.48
17,07.09.2022,5.94
18,08.09.2022,6.99
19,09.09.2022,5.99
20,10.09.2022,7.41
21,13.09.2022,3.92
22,14.09.2022,9.09
23,15.09.2022,6.24
24,16.09.2022,5.83
25,17.09.2022,7.39
26,18.09.2022,8.2
27,19.09.2022,4.87
28,20.09.2022,5.92
29,21.09.2022,5.38
