,Date,Price (Euros)
0,12.08.2022,0.09
1,13.08.2022,0.21
2,14.08.2022,0.04
3,15.08.2022,0.19
4,17.08.2022,0.02
5,18.08.2022,0.08
6,21.08.2022,0.05
7,23.08.2022,0.15
8,24.08.2022,0.23
9,25.08.2022,0.13
10,28.08.2022,0.09
11,29.08.2022,0.02
12,30.08.2022,0.29
13,01.09.2022,0.02
14,02.09.2022,0.14
15,07.09.2022,0.04
16,09.09.2022,0.07
17,10.09.2022,0.09
18,11.09.2022,0.25
19,12.09.2022,0.07
20,13.09.2022,0.2
21,14.09.2022,0.15
22,15.09.2022,0.02
23,16.09.2022,0.2
24,17.09.2022,0.08
25,18.09.2022,0.02
26,19.09.2022,0.02
27,20.09.2022,0.33
28,21.09.2022,0.14
29,22.09.2022,0.02
