,Date,Price (Euros)
0,03.08.2022,0.05
1,06.08.2022,0.02
2,08.08.2022,0.17
3,09.08.2022,0.05
4,16.08.2022,0.04
5,18.08.2022,0.02
6,19.08.2022,0.02
7,20.08.2022,0.05
8,21.08.2022,0.02
9,23.08.2022,0.05
10,24.08.2022,0.05
11,29.08.2022,0.02
12,30.08.2022,0.15
13,01.09.2022,0.05
14,03.09.2022,0.05
15,04.09.2022,0.02
16,05.09.2022,0.08
17,06.09.2022,0.11
18,07.09.2022,0.05
19,10.09.2022,0.12
20,12.09.2022,0.21
21,13.09.2022,0.1
22,15.09.2022,0.08
23,16.09.2022,0.05
24,17.09.2022,0.18
25,18.09.2022,0.22
26,19.09.2022,0.35
27,20.09.2022,0.17
28,21.09.2022,0.06
29,22.09.2022,0.15
