,Date,Price (Euros)
0,24.08.2022,42.27
1,25.08.2022,45.85
2,26.08.2022,45.98
3,27.08.2022,47.07
4,28.08.2022,47.74
5,29.08.2022,45.79
6,30.08.2022,41.45
7,31.08.2022,45.21
8,01.09.2022,40.99
9,02.09.2022,36.08
10,03.09.2022,38.75
11,04.09.2022,31.0
12,05.09.2022,33.89
13,06.09.2022,32.84
14,07.09.2022,26.63
15,08.09.2022,31.0
16,09.09.2022,33.0
17,10.09.2022,28.99
18,11.09.2022,23.74
19,12.09.2022,25.49
20,13.09.2022,25.83
21,14.09.2022,29.99
22,15.09.2022,25.12
23,16.09.2022,18.75
24,17.09.2022,19.89
25,18.09.2022,23.1
26,19.09.2022,15.5
27,20.09.2022,17.3
28,21.09.2022,17.77
29,22.09.2022,16.44
