,Date,Price (Euros)
0,27.05.2022,0.05
1,28.05.2022,0.34
2,31.05.2022,0.02
3,01.06.2022,0.02
4,06.06.2022,0.02
5,07.06.2022,0.02
6,08.06.2022,0.02
7,14.06.2022,0.03
8,23.06.2022,0.18
9,05.07.2022,0.39
10,06.07.2022,0.02
11,08.07.2022,0.02
12,18.07.2022,0.02
13,19.07.2022,0.24
14,29.07.2022,0.05
15,30.07.2022,0.02
16,31.07.2022,0.05
17,03.08.2022,0.09
18,07.08.2022,0.02
19,16.08.2022,0.02
20,18.08.2022,0.02
21,23.08.2022,0.02
22,24.08.2022,0.02
23,30.08.2022,0.03
24,01.09.2022,0.02
25,06.09.2022,0.03
26,12.09.2022,0.02
27,17.09.2022,0.06
28,18.09.2022,0.1
29,22.09.2022,0.1
