,Date,Price (Euros)
0,08.08.2022,0.49
1,09.08.2022,0.02
2,10.08.2022,0.17
3,12.08.2022,0.02
4,14.08.2022,0.25
5,15.08.2022,0.06
6,16.08.2022,0.02
7,17.08.2022,0.25
8,19.08.2022,0.24
9,20.08.2022,0.26
10,21.08.2022,0.1
11,23.08.2022,0.17
12,25.08.2022,0.03
13,26.08.2022,0.24
14,28.08.2022,0.02
15,29.08.2022,0.02
16,30.08.2022,0.04
17,01.09.2022,0.07
18,03.09.2022,0.02
19,04.09.2022,0.02
20,06.09.2022,0.02
21,09.09.2022,0.05
22,12.09.2022,0.04
23,13.09.2022,0.1
24,16.09.2022,0.02
25,17.09.2022,0.1
26,18.09.2022,0.02
27,19.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.02
