,Date,Price (Euros)
0,11.07.2022,0.25
1,12.07.2022,0.35
2,16.07.2022,0.1
3,18.07.2022,0.03
4,23.07.2022,0.14
5,28.07.2022,0.08
6,01.08.2022,0.02
7,02.08.2022,0.05
8,05.08.2022,0.03
9,08.08.2022,0.1
10,10.08.2022,0.02
11,11.08.2022,0.02
12,13.08.2022,0.02
13,15.08.2022,0.02
14,19.08.2022,0.1
15,20.08.2022,0.08
16,22.08.2022,0.02
17,24.08.2022,0.02
18,25.08.2022,0.13
19,27.08.2022,0.02
20,28.08.2022,0.06
21,29.08.2022,0.02
22,09.09.2022,0.1
23,12.09.2022,0.02
24,15.09.2022,0.02
25,17.09.2022,0.02
26,18.09.2022,0.02
27,19.09.2022,0.03
28,20.09.2022,0.02
29,21.09.2022,0.02
