,Date,Price (Euros)
0,05.08.2022,0.05
1,07.08.2022,0.15
2,08.08.2022,0.1
3,09.08.2022,0.02
4,10.08.2022,0.02
5,13.08.2022,0.09
6,14.08.2022,0.35
7,15.08.2022,0.02
8,16.08.2022,0.39
9,17.08.2022,0.16
10,19.08.2022,0.15
11,20.08.2022,0.19
12,21.08.2022,0.02
13,22.08.2022,0.05
14,24.08.2022,0.1
15,25.08.2022,0.02
16,26.08.2022,0.05
17,28.08.2022,0.25
18,29.08.2022,0.02
19,30.08.2022,0.03
20,31.08.2022,0.16
21,01.09.2022,0.02
22,03.09.2022,0.2
23,09.09.2022,0.22
24,10.09.2022,0.02
25,13.09.2022,0.03
26,16.09.2022,0.04
27,19.09.2022,0.02
28,20.09.2022,0.17
29,21.09.2022,0.14
