,Date,Price (Euros)
0,30.06.2022,0.02
1,05.07.2022,0.05
2,06.07.2022,0.1
3,07.07.2022,0.1
4,08.07.2022,0.02
5,10.07.2022,0.02
6,11.07.2022,0.02
7,14.07.2022,0.03
8,16.07.2022,0.05
9,22.07.2022,0.02
10,29.07.2022,0.03
11,03.08.2022,0.02
12,09.08.2022,0.19
13,10.08.2022,0.02
14,11.08.2022,0.03
15,12.08.2022,0.03
16,14.08.2022,0.02
17,16.08.2022,0.04
18,27.08.2022,0.02
19,04.09.2022,0.02
20,05.09.2022,0.02
21,07.09.2022,0.1
22,08.09.2022,0.02
23,09.09.2022,0.02
24,13.09.2022,0.02
25,14.09.2022,0.2
26,18.09.2022,0.02
27,19.09.2022,0.02
28,20.09.2022,0.1
29,21.09.2022,0.02
