,Date,Price (Euros)
0,08.08.2022,0.99
1,09.08.2022,0.03
2,10.08.2022,0.37
3,12.08.2022,0.11
4,13.08.2022,0.99
5,14.08.2022,0.14
6,17.08.2022,0.19
7,18.08.2022,0.28
8,21.08.2022,0.11
9,22.08.2022,0.14
10,23.08.2022,0.03
11,24.08.2022,0.08
12,26.08.2022,0.03
13,27.08.2022,0.1
14,28.08.2022,0.15
15,29.08.2022,0.65
16,31.08.2022,0.05
17,01.09.2022,0.19
18,03.09.2022,0.03
19,04.09.2022,0.24
20,05.09.2022,0.99
21,06.09.2022,0.19
22,07.09.2022,0.14
23,09.09.2022,0.29
24,11.09.2022,0.13
25,13.09.2022,0.21
26,14.09.2022,0.13
27,18.09.2022,0.25
28,19.09.2022,0.1
29,21.09.2022,0.99
