,Date,Price (Euros)
0,31.07.2022,0.1
1,01.08.2022,0.26
2,02.08.2022,0.24
3,03.08.2022,0.15
4,05.08.2022,0.29
5,06.08.2022,0.24
6,07.08.2022,0.05
7,08.08.2022,0.2
8,09.08.2022,0.99
9,10.08.2022,0.1
10,16.08.2022,0.08
11,17.08.2022,0.02
12,22.08.2022,0.09
13,24.08.2022,0.46
14,26.08.2022,0.07
15,27.08.2022,0.07
16,28.08.2022,0.05
17,29.08.2022,0.07
18,30.08.2022,0.09
19,31.08.2022,0.34
20,01.09.2022,0.14
21,02.09.2022,0.14
22,05.09.2022,0.22
23,09.09.2022,0.32
24,10.09.2022,0.05
25,11.09.2022,0.07
26,13.09.2022,0.07
27,16.09.2022,0.16
28,20.09.2022,0.11
29,21.09.2022,0.13
