,Date,Price (Euros)
0,27.05.2022,0.09
1,28.05.2022,0.18
2,31.05.2022,0.39
3,08.06.2022,0.02
4,09.06.2022,0.05
5,14.06.2022,0.1
6,18.06.2022,0.35
7,21.06.2022,0.04
8,24.06.2022,0.02
9,29.06.2022,0.54
10,02.07.2022,0.05
11,15.07.2022,0.08
12,19.07.2022,0.05
13,26.07.2022,0.13
14,29.07.2022,0.02
15,30.07.2022,0.02
16,02.08.2022,0.02
17,04.08.2022,0.1
18,13.08.2022,0.1
19,27.08.2022,0.03
20,28.08.2022,0.19
21,01.09.2022,0.1
22,03.09.2022,0.02
23,04.09.2022,0.05
24,07.09.2022,0.09
25,09.09.2022,0.1
26,10.09.2022,0.14
27,15.09.2022,0.19
28,16.09.2022,0.22
29,19.09.2022,0.1
