,Date,Price (Euros)
0,17.04.2022,0.18
1,28.04.2022,0.08
2,03.05.2022,0.08
3,11.05.2022,0.02
4,14.05.2022,0.5
5,17.05.2022,0.09
6,21.05.2022,0.05
7,28.05.2022,0.03
8,06.06.2022,0.34
9,09.06.2022,0.1
10,12.06.2022,0.1
11,19.06.2022,0.14
12,26.06.2022,0.05
13,27.06.2022,0.25
14,01.07.2022,0.15
15,05.07.2022,0.05
16,06.07.2022,0.02
17,11.07.2022,0.35
18,12.07.2022,0.12
19,13.07.2022,0.49
20,03.08.2022,0.1
21,08.08.2022,0.09
22,09.08.2022,0.08
23,11.08.2022,0.49
24,18.08.2022,0.05
25,20.08.2022,0.02
26,27.08.2022,0.09
27,30.08.2022,0.09
28,03.09.2022,0.03
29,19.09.2022,0.02
