,Date,Price (Euros)
0,30.06.2022,0.22
1,01.07.2022,0.16
2,05.07.2022,0.29
3,14.07.2022,0.13
4,21.07.2022,0.14
5,26.07.2022,0.2
6,27.07.2022,0.25
7,28.07.2022,0.03
8,30.07.2022,0.04
9,31.07.2022,0.15
10,02.08.2022,0.15
11,04.08.2022,0.15
12,05.08.2022,0.39
13,13.08.2022,0.08
14,14.08.2022,0.09
15,16.08.2022,0.02
16,22.08.2022,0.19
17,24.08.2022,0.16
18,29.08.2022,0.03
19,30.08.2022,0.13
20,31.08.2022,0.1
21,01.09.2022,0.2
22,03.09.2022,0.23
23,07.09.2022,0.1
24,12.09.2022,0.02
25,13.09.2022,0.13
26,15.09.2022,0.19
27,17.09.2022,0.03
28,18.09.2022,0.03
29,20.09.2022,0.04
