,Date,Price (Euros)
0,13.08.2022,1.0
1,15.08.2022,1.23
2,16.08.2022,1.86
3,17.08.2022,0.78
4,18.08.2022,0.63
5,20.08.2022,0.89
6,23.08.2022,1.14
7,24.08.2022,0.59
8,25.08.2022,0.88
9,26.08.2022,1.1
10,27.08.2022,0.47
11,30.08.2022,1.14
12,31.08.2022,1.49
13,01.09.2022,1.33
14,02.09.2022,0.89
15,03.09.2022,0.45
16,04.09.2022,2.79
17,05.09.2022,0.69
18,06.09.2022,0.57
19,07.09.2022,0.87
20,10.09.2022,1.86
21,12.09.2022,1.45
22,13.09.2022,0.2
23,14.09.2022,0.44
24,15.09.2022,0.68
25,16.09.2022,0.6
26,18.09.2022,1.05
27,19.09.2022,1.05
28,20.09.2022,0.61
29,21.09.2022,0.99
