,Date,Price (Euros)
0,24.08.2022,6.73
1,25.08.2022,7.07
2,26.08.2022,6.52
3,27.08.2022,5.55
4,28.08.2022,5.83
5,29.08.2022,6.9
6,30.08.2022,6.52
7,31.08.2022,6.66
8,01.09.2022,6.48
9,02.09.2022,6.61
10,03.09.2022,6.37
11,04.09.2022,6.68
12,05.09.2022,6.6
13,06.09.2022,6.86
14,07.09.2022,6.38
15,08.09.2022,6.63
16,09.09.2022,6.17
17,10.09.2022,7.07
18,11.09.2022,6.07
19,12.09.2022,6.1
20,13.09.2022,6.26
21,14.09.2022,6.23
22,15.09.2022,6.2
23,16.09.2022,7.13
24,17.09.2022,6.1
25,18.09.2022,6.42
26,19.09.2022,6.62
27,20.09.2022,6.12
28,21.09.2022,5.77
29,22.09.2022,6.64
