,Date,Price (Euros)
0,10.07.2022,0.04
1,15.07.2022,0.25
2,16.07.2022,0.02
3,17.07.2022,0.29
4,19.07.2022,0.09
5,20.07.2022,0.35
6,24.07.2022,0.15
7,26.07.2022,0.15
8,28.07.2022,0.24
9,30.07.2022,0.1
10,01.08.2022,0.07
11,02.08.2022,0.1
12,05.08.2022,0.15
13,06.08.2022,0.1
14,12.08.2022,0.49
15,13.08.2022,0.02
16,18.08.2022,0.15
17,21.08.2022,0.2
18,24.08.2022,0.1
19,25.08.2022,0.04
20,03.09.2022,0.04
21,04.09.2022,0.1
22,05.09.2022,0.04
23,06.09.2022,0.12
24,10.09.2022,0.24
25,13.09.2022,0.19
26,17.09.2022,0.38
27,18.09.2022,0.02
28,19.09.2022,0.02
29,20.09.2022,0.4
