,Date,Price (Euros)
0,03.07.2022,0.2
1,10.07.2022,0.31
2,12.07.2022,0.15
3,13.07.2022,0.5
4,15.07.2022,0.19
5,16.07.2022,0.12
6,26.07.2022,0.29
7,30.07.2022,0.39
8,31.07.2022,0.05
9,01.08.2022,0.39
10,05.08.2022,0.29
11,08.08.2022,0.09
12,09.08.2022,0.29
13,10.08.2022,0.09
14,11.08.2022,0.24
15,19.08.2022,0.46
16,22.08.2022,0.13
17,24.08.2022,0.9
18,25.08.2022,0.1
19,28.08.2022,0.25
20,30.08.2022,0.08
21,31.08.2022,0.1
22,02.09.2022,0.09
23,03.09.2022,0.09
24,05.09.2022,0.09
25,06.09.2022,0.15
26,10.09.2022,0.18
27,12.09.2022,0.09
28,14.09.2022,0.09
29,20.09.2022,0.12
