,Date,Price (Euros)
0,23.05.2022,0.49
1,24.05.2022,0.49
2,19.06.2022,0.05
3,20.06.2022,0.05
4,23.06.2022,0.05
5,24.06.2022,0.18
6,27.06.2022,0.05
7,03.07.2022,0.39
8,04.07.2022,0.05
9,06.07.2022,0.35
10,14.07.2022,0.39
11,17.07.2022,0.49
12,27.07.2022,0.05
13,30.07.2022,0.19
14,31.07.2022,0.1
15,02.08.2022,0.35
16,04.08.2022,0.18
17,17.08.2022,0.19
18,18.08.2022,0.05
19,21.08.2022,0.07
20,23.08.2022,0.05
21,26.08.2022,0.05
22,29.08.2022,0.1
23,03.09.2022,0.05
24,12.09.2022,0.49
25,13.09.2022,0.05
26,14.09.2022,0.27
27,18.09.2022,0.05
28,21.09.2022,0.24
29,22.09.2022,0.05
