,Date,Price (Euros)
0,27.02.2022,0.05
1,08.03.2022,0.15
2,24.03.2022,0.19
3,26.03.2022,0.09
4,30.03.2022,0.35
5,01.04.2022,0.1
6,19.04.2022,0.3
7,21.04.2022,0.2
8,24.04.2022,0.2
9,29.04.2022,0.29
10,01.05.2022,0.29
11,04.05.2022,0.29
12,05.05.2022,0.39
13,16.05.2022,0.09
14,19.05.2022,0.19
15,07.06.2022,0.19
16,08.06.2022,0.25
17,16.06.2022,0.49
18,22.06.2022,0.29
19,23.06.2022,0.08
20,27.06.2022,0.05
21,27.07.2022,0.1
22,16.08.2022,0.49
23,21.08.2022,0.09
24,23.08.2022,0.02
25,24.08.2022,0.46
26,30.08.2022,0.05
27,31.08.2022,0.09
28,11.09.2022,0.33
29,19.09.2022,0.38
