,Date,Price (Euros)
0,19.08.2022,11.67
1,20.08.2022,9.45
2,21.08.2022,9.0
3,22.08.2022,8.99
4,23.08.2022,8.99
5,24.08.2022,9.0
6,25.08.2022,10.5
7,26.08.2022,9.53
8,29.08.2022,11.23
9,30.08.2022,10.86
10,31.08.2022,9.24
11,01.09.2022,10.25
12,03.09.2022,14.98
13,04.09.2022,13.5
14,05.09.2022,9.5
15,06.09.2022,14.87
16,07.09.2022,11.67
17,08.09.2022,11.14
18,09.09.2022,9.75
19,10.09.2022,11.23
20,11.09.2022,11.0
21,13.09.2022,9.5
22,15.09.2022,10.63
23,16.09.2022,14.96
24,17.09.2022,9.69
25,18.09.2022,11.88
26,19.09.2022,13.75
27,20.09.2022,14.0
28,21.09.2022,12.82
29,22.09.2022,8.4
