,Date,Price (Euros)
0,05.08.2022,0.02
1,06.08.2022,0.39
2,08.08.2022,0.02
3,13.08.2022,0.09
4,14.08.2022,0.02
5,15.08.2022,0.02
6,16.08.2022,0.04
7,20.08.2022,0.05
8,21.08.2022,0.02
9,22.08.2022,0.02
10,23.08.2022,0.02
11,24.08.2022,0.02
12,26.08.2022,0.1
13,28.08.2022,0.02
14,29.08.2022,0.02
15,30.08.2022,0.05
16,31.08.2022,0.02
17,03.09.2022,0.02
18,04.09.2022,0.05
19,05.09.2022,0.07
20,06.09.2022,0.03
21,07.09.2022,0.05
22,10.09.2022,0.05
23,11.09.2022,0.02
24,12.09.2022,0.02
25,14.09.2022,0.02
26,16.09.2022,0.02
27,17.09.2022,0.04
28,18.09.2022,0.03
29,19.09.2022,0.02
