,Date,Price (Euros)
0,24.08.2022,0.48
1,25.08.2022,0.36
2,26.08.2022,0.3
3,27.08.2022,0.39
4,28.08.2022,0.35
5,29.08.2022,0.15
6,30.08.2022,0.36
7,31.08.2022,0.33
8,01.09.2022,0.25
9,02.09.2022,0.34
10,03.09.2022,0.27
11,04.09.2022,0.51
12,05.09.2022,0.17
13,06.09.2022,0.14
14,07.09.2022,0.31
15,08.09.2022,0.19
16,09.09.2022,0.28
17,10.09.2022,0.27
18,11.09.2022,0.51
19,12.09.2022,0.37
20,13.09.2022,0.13
21,14.09.2022,0.27
22,15.09.2022,0.24
23,16.09.2022,0.37
24,17.09.2022,0.14
25,18.09.2022,0.12
26,19.09.2022,0.37
27,20.09.2022,0.22
28,21.09.2022,0.45
29,22.09.2022,0.16
