,Date,Price (Euros)
0,14.08.2022,0.02
1,15.08.2022,0.02
2,17.08.2022,0.06
3,21.08.2022,0.02
4,23.08.2022,0.05
5,24.08.2022,0.24
6,26.08.2022,0.02
7,28.08.2022,0.05
8,29.08.2022,0.04
9,30.08.2022,0.02
10,01.09.2022,0.03
11,02.09.2022,0.05
12,04.09.2022,0.04
13,05.09.2022,0.02
14,06.09.2022,0.12
15,07.09.2022,0.02
16,08.09.2022,0.07
17,09.09.2022,0.06
18,10.09.2022,0.08
19,11.09.2022,0.22
20,12.09.2022,0.23
21,13.09.2022,0.12
22,14.09.2022,0.02
23,15.09.2022,0.05
24,16.09.2022,0.06
25,17.09.2022,0.12
26,18.09.2022,0.03
27,20.09.2022,0.02
28,21.09.2022,0.07
29,22.09.2022,0.12
