,Date,Price (Euros)
0,04.08.2022,0.06
1,05.08.2022,0.07
2,07.08.2022,0.08
3,08.08.2022,0.1
4,09.08.2022,0.24
5,10.08.2022,0.02
6,14.08.2022,0.05
7,15.08.2022,0.02
8,16.08.2022,0.04
9,18.08.2022,0.02
10,19.08.2022,0.02
11,21.08.2022,0.07
12,22.08.2022,0.09
13,23.08.2022,0.05
14,24.08.2022,0.06
15,25.08.2022,0.05
16,26.08.2022,0.02
17,27.08.2022,0.02
18,29.08.2022,0.07
19,31.08.2022,0.04
20,05.09.2022,0.07
21,09.09.2022,0.15
22,12.09.2022,0.02
23,13.09.2022,0.14
24,14.09.2022,0.1
25,15.09.2022,0.03
26,18.09.2022,0.05
27,19.09.2022,0.06
28,20.09.2022,0.15
29,21.09.2022,0.19
30,23.09.2022,0.2
31,26.09.2022,0.02
32,27.09.2022,0.14
33,29.09.2022,0.05
34,30.09.2022,0.08
35,01.10.2022,0.02
36,02.10.2022,0.02
37,04.10.2022,0.19
38,05.10.2022,0.08
