,Date,Price (Euros)
0,03.08.2022,0.29
1,05.08.2022,0.08
2,06.08.2022,0.02
3,07.08.2022,0.08
4,09.08.2022,0.02
5,10.08.2022,0.17
6,13.08.2022,0.02
7,14.08.2022,0.02
8,15.08.2022,0.02
9,17.08.2022,0.02
10,18.08.2022,0.02
11,20.08.2022,0.02
12,23.08.2022,0.03
13,24.08.2022,0.04
14,26.08.2022,0.08
15,28.08.2022,0.03
16,29.08.2022,0.1
17,30.08.2022,0.14
18,31.08.2022,0.06
19,02.09.2022,0.04
20,03.09.2022,0.29
21,04.09.2022,0.1
22,05.09.2022,0.02
23,06.09.2022,0.05
24,07.09.2022,0.05
25,09.09.2022,0.04
26,13.09.2022,0.04
27,14.09.2022,0.02
28,20.09.2022,0.09
29,21.09.2022,0.04
30,22.09.2022,0.08
31,26.09.2022,0.02
32,28.09.2022,0.02
33,30.09.2022,0.02
34,01.10.2022,0.02
35,02.10.2022,0.02
