,Date,Price (Euros)
0,22.08.2022,23.37
1,23.08.2022,26.29
2,24.08.2022,26.59
3,25.08.2022,26.19
4,26.08.2022,27.95
5,27.08.2022,22.68
6,28.08.2022,22.25
7,29.08.2022,23.66
8,30.08.2022,23.22
9,31.08.2022,22.01
10,01.09.2022,21.63
11,02.09.2022,19.45
12,03.09.2022,19.91
13,04.09.2022,18.89
14,05.09.2022,22.14
15,06.09.2022,18.19
16,07.09.2022,16.43
17,08.09.2022,14.65
18,09.09.2022,16.88
19,10.09.2022,15.76
20,11.09.2022,18.62
21,12.09.2022,28.99
22,13.09.2022,15.0
23,14.09.2022,13.99
24,15.09.2022,10.88
25,16.09.2022,9.97
26,17.09.2022,12.49
27,18.09.2022,11.83
28,19.09.2022,9.5
29,20.09.2022,10.44
30,23.09.2022,14.5
31,24.09.2022,11.99
32,25.09.2022,9.2
33,26.09.2022,11.55
34,27.09.2022,11.62
35,28.09.2022,12.46
36,29.09.2022,14.92
37,30.09.2022,10.5
38,01.10.2022,10.0
39,02.10.2022,9.5
40,03.10.2022,14.8
41,04.10.2022,9.79
42,05.10.2022,10.0
