,Date,Price (Euros)
0,22.08.2022,0.2
1,23.08.2022,0.11
2,24.08.2022,0.18
3,25.08.2022,0.29
4,26.08.2022,0.1
5,27.08.2022,0.24
6,28.08.2022,0.15
7,29.08.2022,0.21
8,30.08.2022,0.33
9,31.08.2022,0.08
10,01.09.2022,0.15
11,02.09.2022,0.1
12,03.09.2022,0.14
13,04.09.2022,0.16
14,05.09.2022,0.28
15,06.09.2022,0.17
16,07.09.2022,0.14
17,08.09.2022,0.23
18,09.09.2022,0.21
19,11.09.2022,0.11
20,12.09.2022,0.07
21,13.09.2022,0.19
22,14.09.2022,0.11
23,15.09.2022,0.2
24,16.09.2022,0.16
25,17.09.2022,0.19
26,18.09.2022,0.24
27,19.09.2022,0.15
28,20.09.2022,0.12
29,21.09.2022,0.15
30,22.09.2022,0.33
31,23.09.2022,0.16
32,24.09.2022,0.23
33,25.09.2022,0.15
34,26.09.2022,0.12
35,27.09.2022,0.07
36,28.09.2022,0.19
37,29.09.2022,0.18
38,30.09.2022,0.14
39,01.10.2022,0.16
40,02.10.2022,0.11
41,03.10.2022,0.19
42,04.10.2022,0.16
43,05.10.2022,0.18
