,Date,Price (Euros)
0,22.08.2022,0.77
1,23.08.2022,0.79
2,24.08.2022,0.78
3,25.08.2022,1.73
4,26.08.2022,1.49
5,27.08.2022,1.69
6,28.08.2022,0.6
7,29.08.2022,0.5
8,30.08.2022,0.84
9,31.08.2022,0.41
10,01.09.2022,0.73
11,02.09.2022,0.76
12,03.09.2022,1.0
13,04.09.2022,1.09
14,05.09.2022,0.59
15,06.09.2022,0.56
16,07.09.2022,1.36
17,08.09.2022,1.57
18,09.09.2022,0.66
19,10.09.2022,0.95
20,11.09.2022,1.42
21,12.09.2022,2.99
22,14.09.2022,0.79
23,15.09.2022,0.99
24,16.09.2022,0.62
25,17.09.2022,0.89
26,18.09.2022,0.61
27,19.09.2022,0.84
28,20.09.2022,0.88
29,21.09.2022,0.76
30,22.09.2022,0.75
31,24.09.2022,0.76
32,25.09.2022,0.82
33,26.09.2022,0.9
34,27.09.2022,1.0
35,28.09.2022,0.63
36,29.09.2022,0.66
37,30.09.2022,0.7
38,01.10.2022,0.75
39,02.10.2022,0.64
40,03.10.2022,0.87
41,04.10.2022,0.75
42,05.10.2022,0.49
