,Date,Price (Euros)
0,14.08.2022,0.05
1,15.08.2022,0.02
2,16.08.2022,0.02
3,17.08.2022,0.03
4,18.08.2022,0.06
5,19.08.2022,0.06
6,21.08.2022,0.02
7,22.08.2022,0.05
8,23.08.2022,0.06
9,24.08.2022,0.02
10,26.08.2022,0.02
11,28.08.2022,0.02
12,29.08.2022,0.03
13,31.08.2022,0.03
14,01.09.2022,0.02
15,03.09.2022,0.05
16,06.09.2022,0.1
17,07.09.2022,0.06
18,08.09.2022,0.03
19,09.09.2022,0.03
20,10.09.2022,0.1
21,12.09.2022,0.09
22,13.09.2022,0.02
23,14.09.2022,0.03
24,15.09.2022,0.09
25,16.09.2022,0.15
26,17.09.2022,0.08
27,18.09.2022,0.05
28,20.09.2022,0.07
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.1
32,24.09.2022,0.04
33,25.09.2022,0.1
34,26.09.2022,0.14
35,27.09.2022,0.02
36,28.09.2022,0.02
37,29.09.2022,0.02
38,30.09.2022,0.02
39,02.10.2022,0.02
40,03.10.2022,0.07
41,05.10.2022,0.02
