,Date,Price (Euros)
0,19.08.2022,9.64
1,20.08.2022,9.88
2,21.08.2022,11.5
3,22.08.2022,10.0
4,23.08.2022,12.0
5,24.08.2022,11.28
6,25.08.2022,9.0
7,26.08.2022,11.92
8,27.08.2022,11.64
9,28.08.2022,8.9
10,29.08.2022,11.55
11,30.08.2022,12.31
12,31.08.2022,10.8
13,01.09.2022,8.08
14,02.09.2022,11.12
15,03.09.2022,9.5
16,04.09.2022,8.18
17,05.09.2022,7.75
18,06.09.2022,9.96
19,07.09.2022,10.29
20,08.09.2022,9.99
21,09.09.2022,7.86
22,11.09.2022,6.99
23,12.09.2022,10.66
24,15.09.2022,7.73
25,16.09.2022,8.26
26,17.09.2022,8.92
27,18.09.2022,9.0
28,20.09.2022,8.42
29,21.09.2022,8.92
30,22.09.2022,12.43
31,23.09.2022,9.51
32,24.09.2022,7.49
33,25.09.2022,8.24
34,26.09.2022,7.85
35,27.09.2022,10.03
36,28.09.2022,8.99
37,29.09.2022,11.97
38,30.09.2022,9.29
39,01.10.2022,17.99
40,02.10.2022,13.37
41,03.10.2022,8.03
42,04.10.2022,8.18
43,05.10.2022,8.56
