,Date,Price (Euros)
0,20.07.2022,0.02
1,25.07.2022,0.02
2,30.07.2022,0.02
3,03.08.2022,0.2
4,06.08.2022,0.02
5,08.08.2022,0.04
6,09.08.2022,0.02
7,10.08.2022,0.02
8,13.08.2022,0.17
9,14.08.2022,0.1
10,15.08.2022,0.07
11,16.08.2022,0.02
12,17.08.2022,0.02
13,19.08.2022,0.02
14,23.08.2022,0.02
15,24.08.2022,0.02
16,26.08.2022,0.05
17,27.08.2022,0.02
18,29.08.2022,0.05
19,03.09.2022,0.02
20,04.09.2022,0.02
21,05.09.2022,0.05
22,06.09.2022,0.12
23,09.09.2022,0.02
24,12.09.2022,0.05
25,13.09.2022,0.02
26,14.09.2022,0.02
27,15.09.2022,0.02
28,18.09.2022,0.02
29,21.09.2022,0.02
30,23.09.2022,0.02
31,24.09.2022,0.02
32,25.09.2022,0.1
33,27.09.2022,0.1
34,30.09.2022,0.02
35,01.10.2022,0.02
36,02.10.2022,0.02
37,04.10.2022,0.06
38,05.10.2022,0.02
