,Date,Price (Euros)
0,22.08.2022,1.0
1,23.08.2022,1.73
2,24.08.2022,0.98
3,25.08.2022,1.1
4,26.08.2022,1.59
5,27.08.2022,0.62
6,28.08.2022,1.23
7,29.08.2022,1.25
8,30.08.2022,0.77
9,31.08.2022,0.55
10,01.09.2022,1.13
11,02.09.2022,0.72
12,03.09.2022,0.62
13,04.09.2022,1.1
14,05.09.2022,0.6
15,06.09.2022,0.81
16,07.09.2022,1.35
17,08.09.2022,1.19
18,09.09.2022,1.0
19,10.09.2022,0.98
20,11.09.2022,1.16
21,13.09.2022,1.49
22,14.09.2022,0.93
23,15.09.2022,1.55
24,16.09.2022,0.9
25,17.09.2022,1.56
26,18.09.2022,1.0
27,19.09.2022,0.6
28,20.09.2022,0.83
29,21.09.2022,0.87
30,22.09.2022,2.0
31,24.09.2022,0.7
32,25.09.2022,1.1
33,26.09.2022,0.84
34,27.09.2022,1.64
35,28.09.2022,0.53
36,29.09.2022,0.69
37,30.09.2022,0.64
38,01.10.2022,1.62
39,03.10.2022,2.0
40,04.10.2022,0.59
41,05.10.2022,0.98
