,Date,Price (Euros)
0,23.08.2022,0.25
1,24.08.2022,0.27
2,25.08.2022,0.45
3,26.08.2022,0.3
4,27.08.2022,0.25
5,28.08.2022,0.06
6,29.08.2022,0.4
7,30.08.2022,0.18
8,31.08.2022,0.25
9,01.09.2022,0.19
10,02.09.2022,0.22
11,03.09.2022,0.15
12,04.09.2022,0.25
13,05.09.2022,0.28
14,06.09.2022,0.25
15,07.09.2022,0.19
16,08.09.2022,0.4
17,09.09.2022,0.1
18,10.09.2022,0.15
19,11.09.2022,0.05
20,12.09.2022,0.42
21,13.09.2022,0.18
22,14.09.2022,0.99
23,15.09.2022,0.13
24,16.09.2022,0.18
25,17.09.2022,0.35
26,18.09.2022,0.18
27,19.09.2022,0.26
28,20.09.2022,0.3
29,21.09.2022,0.29
30,22.09.2022,0.09
31,23.09.2022,0.27
32,24.09.2022,0.12
33,25.09.2022,0.41
34,26.09.2022,0.29
35,27.09.2022,0.47
36,28.09.2022,0.17
37,29.09.2022,0.38
38,30.09.2022,0.38
39,01.10.2022,0.25
40,02.10.2022,0.3
41,03.10.2022,0.12
42,04.10.2022,0.09
43,05.10.2022,0.15
