,Date,Price (Euros)
0,04.08.2022,0.05
1,05.08.2022,0.02
2,06.08.2022,0.12
3,09.08.2022,0.13
4,11.08.2022,0.05
5,12.08.2022,0.08
6,15.08.2022,0.13
7,17.08.2022,0.1
8,18.08.2022,0.24
9,20.08.2022,0.08
10,22.08.2022,0.24
11,25.08.2022,0.05
12,26.08.2022,0.5
13,28.08.2022,0.02
14,29.08.2022,1.0
15,30.08.2022,0.02
16,31.08.2022,0.07
17,01.09.2022,0.09
18,02.09.2022,0.07
19,04.09.2022,0.11
20,05.09.2022,0.08
21,06.09.2022,0.1
22,07.09.2022,0.09
23,09.09.2022,0.02
24,10.09.2022,0.22
25,12.09.2022,1.18
26,13.09.2022,0.29
27,18.09.2022,0.1
28,19.09.2022,0.14
29,21.09.2022,0.04
30,23.09.2022,0.09
31,28.09.2022,0.02
32,29.09.2022,0.13
33,01.10.2022,0.04
34,04.10.2022,0.09
35,05.10.2022,0.24
