,Date,Price (Euros)
0,14.08.2022,0.02
1,15.08.2022,0.04
2,17.08.2022,0.02
3,19.08.2022,0.02
4,21.08.2022,0.25
5,24.08.2022,0.13
6,25.08.2022,0.02
7,26.08.2022,0.03
8,27.08.2022,0.08
9,28.08.2022,0.16
10,30.08.2022,0.07
11,31.08.2022,0.1
12,01.09.2022,0.1
13,02.09.2022,0.09
14,03.09.2022,0.02
15,04.09.2022,0.02
16,06.09.2022,0.06
17,07.09.2022,0.09
18,08.09.2022,0.1
19,09.09.2022,0.05
20,10.09.2022,0.07
21,12.09.2022,0.14
22,13.09.2022,0.14
23,15.09.2022,0.09
24,16.09.2022,0.15
25,17.09.2022,0.05
26,18.09.2022,0.06
27,19.09.2022,0.12
28,20.09.2022,0.03
29,21.09.2022,0.03
30,23.09.2022,0.03
31,24.09.2022,0.07
32,25.09.2022,0.02
33,27.09.2022,0.04
34,28.09.2022,0.1
35,30.09.2022,0.04
36,01.10.2022,0.25
37,02.10.2022,0.05
38,03.10.2022,0.05
