,Date,Price (Euros)
0,19.08.2022,0.19
1,20.08.2022,0.35
2,21.08.2022,0.07
3,22.08.2022,0.03
4,23.08.2022,0.17
5,24.08.2022,0.49
6,25.08.2022,0.08
7,26.08.2022,0.12
8,27.08.2022,0.06
9,28.08.2022,0.05
10,29.08.2022,0.05
11,30.08.2022,0.1
12,31.08.2022,0.23
13,01.09.2022,0.08
14,02.09.2022,0.05
15,03.09.2022,0.13
16,05.09.2022,0.12
17,07.09.2022,0.07
18,08.09.2022,0.19
19,09.09.2022,0.05
20,11.09.2022,0.1
21,13.09.2022,0.02
22,14.09.2022,0.19
23,15.09.2022,0.08
24,16.09.2022,0.03
25,17.09.2022,0.16
26,18.09.2022,0.35
27,19.09.2022,0.3
28,20.09.2022,0.34
29,21.09.2022,0.05
30,22.09.2022,0.22
31,23.09.2022,0.13
32,24.09.2022,0.02
33,25.09.2022,0.08
34,26.09.2022,0.09
35,28.09.2022,0.14
36,30.09.2022,0.16
37,01.10.2022,0.26
38,03.10.2022,0.04
39,04.10.2022,0.07
40,05.10.2022,0.19
