,Date,Price (Euros)
0,16.08.2022,5.12
1,17.08.2022,11.22
2,18.08.2022,7.0
3,20.08.2022,6.7
4,21.08.2022,6.8
5,22.08.2022,6.3
6,24.08.2022,5.5
7,25.08.2022,4.99
8,26.08.2022,5.55
9,27.08.2022,6.47
10,28.08.2022,10.5
11,29.08.2022,10.35
12,30.08.2022,12.0
13,01.09.2022,5.61
14,02.09.2022,6.4
15,03.09.2022,7.36
16,04.09.2022,6.53
17,05.09.2022,17.0
18,07.09.2022,6.23
19,08.09.2022,7.5
20,09.09.2022,7.5
21,11.09.2022,9.99
22,13.09.2022,6.95
23,14.09.2022,4.48
24,15.09.2022,5.86
25,17.09.2022,7.39
26,18.09.2022,7.5
27,19.09.2022,10.0
28,20.09.2022,6.03
29,21.09.2022,5.19
30,22.09.2022,5.37
31,23.09.2022,12.95
32,25.09.2022,6.71
33,26.09.2022,7.55
34,27.09.2022,6.0
35,28.09.2022,7.96
36,29.09.2022,5.0
37,30.09.2022,7.78
38,01.10.2022,7.87
39,02.10.2022,7.44
40,03.10.2022,9.47
41,04.10.2022,7.39
