,Date,Price (Euros)
0,22.07.2022,0.29
1,23.07.2022,0.04
2,24.07.2022,0.05
3,28.07.2022,0.02
4,01.08.2022,0.02
5,03.08.2022,0.02
6,05.08.2022,0.02
7,07.08.2022,0.02
8,10.08.2022,0.02
9,12.08.2022,0.05
10,13.08.2022,0.02
11,15.08.2022,0.02
12,17.08.2022,0.02
13,19.08.2022,0.02
14,21.08.2022,0.02
15,23.08.2022,0.05
16,24.08.2022,0.02
17,28.08.2022,0.35
18,29.08.2022,0.09
19,31.08.2022,0.02
20,06.09.2022,0.15
21,07.09.2022,0.02
22,08.09.2022,0.16
23,10.09.2022,0.2
24,11.09.2022,0.02
25,13.09.2022,0.14
26,14.09.2022,0.02
27,16.09.2022,0.02
28,18.09.2022,0.02
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.02
32,26.09.2022,0.02
33,27.09.2022,0.02
34,29.09.2022,0.02
35,01.10.2022,0.15
36,02.10.2022,0.05
