,Date,Price (Euros)
0,17.06.2022,17.0
1,18.06.2022,20.99
2,21.06.2022,25.0
3,25.06.2022,25.48
4,28.06.2022,19.99
5,30.06.2022,26.49
6,01.07.2022,20.0
7,05.07.2022,20.0
8,10.07.2022,25.0
9,11.07.2022,25.99
10,14.07.2022,25.0
11,15.07.2022,20.9
12,18.07.2022,21.98
13,27.07.2022,22.99
14,30.07.2022,30.0
15,02.08.2022,26.9
16,06.08.2022,24.9
17,08.08.2022,23.0
18,11.08.2022,22.99
19,15.08.2022,22.8
20,16.08.2022,25.0
21,19.08.2022,22.99
22,22.08.2022,22.98
23,26.08.2022,22.9
24,27.08.2022,27.9
25,28.08.2022,22.9
26,30.08.2022,40.0
27,06.09.2022,19.98
28,07.09.2022,19.9
29,12.09.2022,19.5
30,26.09.2022,22.98
31,27.09.2022,19.9
32,01.10.2022,40.0
33,03.10.2022,38.0
