,Date,Price (Euros)
0,25.06.2022,0.49
1,29.06.2022,0.24
2,30.06.2022,0.15
3,02.07.2022,0.4
4,08.07.2022,0.28
5,11.07.2022,0.09
6,15.07.2022,0.14
7,18.07.2022,0.59
8,19.07.2022,0.48
9,21.07.2022,0.19
10,22.07.2022,0.2
11,26.07.2022,0.43
12,30.07.2022,0.44
13,03.08.2022,0.24
14,13.08.2022,0.5
15,15.08.2022,0.35
16,18.08.2022,0.3
17,19.08.2022,0.2
18,20.08.2022,0.1
19,24.08.2022,0.43
20,29.08.2022,0.15
21,02.09.2022,0.44
22,04.09.2022,0.24
23,06.09.2022,0.27
24,07.09.2022,0.09
25,10.09.2022,0.29
26,13.09.2022,0.13
27,18.09.2022,0.99
28,20.09.2022,0.17
29,21.09.2022,0.13
30,24.09.2022,0.49
31,25.09.2022,0.24
32,29.09.2022,0.1
33,02.10.2022,0.3
34,05.10.2022,0.29
