,Date,Price (Euros)
0,10.07.2022,0.39
1,16.07.2022,0.49
2,19.07.2022,0.37
3,20.07.2022,0.24
4,26.07.2022,0.08
5,27.07.2022,0.42
6,28.07.2022,0.3
7,08.08.2022,0.2
8,10.08.2022,0.42
9,11.08.2022,0.39
10,12.08.2022,0.2
11,13.08.2022,0.39
12,18.08.2022,0.25
13,19.08.2022,0.59
14,24.08.2022,0.39
15,25.08.2022,0.2
16,27.08.2022,0.25
17,29.08.2022,0.5
18,31.08.2022,0.2
19,01.09.2022,0.32
20,02.09.2022,0.34
21,03.09.2022,0.21
22,04.09.2022,0.28
23,08.09.2022,0.23
24,09.09.2022,0.6
25,13.09.2022,0.1
26,16.09.2022,1.0
27,19.09.2022,0.22
28,20.09.2022,0.24
29,21.09.2022,0.32
30,22.09.2022,0.35
31,23.09.2022,0.2
32,24.09.2022,0.36
33,26.09.2022,0.39
34,27.09.2022,0.29
35,28.09.2022,0.25
36,29.09.2022,0.5
37,04.10.2022,0.39
