,Date,Price (Euros)
0,07.08.2022,0.02
1,08.08.2022,0.02
2,09.08.2022,0.04
3,11.08.2022,0.2
4,13.08.2022,0.11
5,14.08.2022,0.03
6,15.08.2022,0.02
7,17.08.2022,0.27
8,18.08.2022,0.02
9,19.08.2022,0.12
10,20.08.2022,0.05
11,21.08.2022,0.14
12,22.08.2022,0.02
13,23.08.2022,0.16
14,25.08.2022,0.14
15,26.08.2022,0.06
16,29.08.2022,0.04
17,30.08.2022,0.02
18,31.08.2022,0.02
19,02.09.2022,0.15
20,03.09.2022,0.22
21,04.09.2022,0.02
22,06.09.2022,0.2
23,09.09.2022,0.02
24,14.09.2022,0.02
25,15.09.2022,0.02
26,16.09.2022,0.04
27,18.09.2022,0.02
28,19.09.2022,0.09
29,21.09.2022,0.02
30,23.09.2022,0.19
31,25.09.2022,0.03
32,27.09.2022,0.02
33,28.09.2022,0.05
34,29.09.2022,0.05
35,30.09.2022,0.15
36,01.10.2022,0.02
37,02.10.2022,0.29
