,Date,Price (Euros)
0,22.08.2022,1.09
1,23.08.2022,1.09
2,24.08.2022,1.06
3,25.08.2022,0.74
4,26.08.2022,1.89
5,27.08.2022,0.93
6,28.08.2022,0.85
7,29.08.2022,0.75
8,30.08.2022,0.58
9,31.08.2022,1.05
10,01.09.2022,0.89
11,02.09.2022,0.85
12,03.09.2022,0.77
13,04.09.2022,0.58
14,05.09.2022,1.13
15,06.09.2022,0.7
16,07.09.2022,0.99
17,08.09.2022,0.92
18,09.09.2022,0.86
19,10.09.2022,0.84
20,11.09.2022,0.69
21,12.09.2022,0.89
22,13.09.2022,0.69
23,14.09.2022,2.25
24,15.09.2022,1.51
25,17.09.2022,0.7
26,18.09.2022,0.24
27,19.09.2022,0.67
28,20.09.2022,0.85
29,21.09.2022,1.0
30,22.09.2022,0.78
31,24.09.2022,0.89
32,25.09.2022,0.95
33,27.09.2022,0.1
34,28.09.2022,0.31
35,29.09.2022,0.59
36,30.09.2022,0.15
37,01.10.2022,0.72
38,02.10.2022,0.71
39,04.10.2022,0.66
40,05.10.2022,0.47
