,Date,Price (Euros)
0,05.08.2022,0.05
1,07.08.2022,0.26
2,08.08.2022,0.08
3,10.08.2022,0.05
4,12.08.2022,0.07
5,14.08.2022,0.17
6,15.08.2022,0.02
7,16.08.2022,0.02
8,17.08.2022,0.2
9,18.08.2022,0.1
10,19.08.2022,0.06
11,21.08.2022,0.05
12,22.08.2022,0.07
13,23.08.2022,0.07
14,24.08.2022,0.2
15,25.08.2022,0.14
16,26.08.2022,0.02
17,27.08.2022,0.19
18,28.08.2022,0.07
19,29.08.2022,0.09
20,30.08.2022,0.02
21,02.09.2022,0.1
22,06.09.2022,0.06
23,11.09.2022,0.02
24,12.09.2022,0.09
25,13.09.2022,0.07
26,16.09.2022,0.05
27,17.09.2022,0.09
28,19.09.2022,0.02
29,20.09.2022,0.02
30,26.09.2022,0.2
31,27.09.2022,0.08
32,28.09.2022,0.19
33,29.09.2022,0.2
34,02.10.2022,0.02
35,03.10.2022,0.05
