,Date,Price (Euros)
0,23.08.2022,0.7
1,24.08.2022,0.74
2,25.08.2022,0.72
3,26.08.2022,0.73
4,27.08.2022,0.61
5,28.08.2022,1.0
6,29.08.2022,0.81
7,30.08.2022,0.9
8,31.08.2022,0.8
9,01.09.2022,0.86
10,02.09.2022,0.67
11,03.09.2022,0.77
12,04.09.2022,0.77
13,05.09.2022,0.99
14,06.09.2022,0.66
15,07.09.2022,0.91
16,08.09.2022,0.83
17,09.09.2022,1.03
18,10.09.2022,1.0
19,11.09.2022,0.84
20,12.09.2022,0.98
21,13.09.2022,0.79
22,14.09.2022,0.7
23,15.09.2022,2.95
24,16.09.2022,0.76
25,17.09.2022,0.74
26,18.09.2022,0.77
27,19.09.2022,1.07
28,20.09.2022,0.83
29,21.09.2022,1.09
30,22.09.2022,0.7
31,23.09.2022,0.72
32,24.09.2022,0.78
33,25.09.2022,1.38
34,26.09.2022,0.55
35,27.09.2022,1.03
36,28.09.2022,0.68
37,29.09.2022,0.99
38,30.09.2022,0.68
39,01.10.2022,0.81
40,02.10.2022,0.62
41,03.10.2022,0.57
42,04.10.2022,0.77
43,05.10.2022,0.78
