,Date,Price (Euros)
0,23.08.2022,0.42
1,24.08.2022,0.34
2,25.08.2022,0.39
3,26.08.2022,0.32
4,27.08.2022,0.34
5,28.08.2022,0.28
6,29.08.2022,0.38
7,30.08.2022,0.4
8,31.08.2022,0.38
9,01.09.2022,0.39
10,02.09.2022,0.41
11,03.09.2022,0.33
12,04.09.2022,0.25
13,05.09.2022,0.41
14,06.09.2022,0.42
15,07.09.2022,0.48
16,08.09.2022,0.27
17,09.09.2022,0.38
18,10.09.2022,0.63
19,11.09.2022,0.33
20,12.09.2022,0.32
21,13.09.2022,0.33
22,14.09.2022,0.5
23,15.09.2022,0.52
24,16.09.2022,0.41
25,17.09.2022,0.51
26,18.09.2022,0.43
27,19.09.2022,0.42
28,20.09.2022,0.43
29,21.09.2022,0.39
30,22.09.2022,0.3
31,23.09.2022,0.32
32,24.09.2022,0.42
33,25.09.2022,0.43
34,26.09.2022,0.44
35,27.09.2022,0.45
36,28.09.2022,0.37
37,29.09.2022,0.35
38,30.09.2022,0.44
39,01.10.2022,0.34
40,02.10.2022,0.34
41,03.10.2022,0.37
42,04.10.2022,0.45
43,05.10.2022,0.45
