,Date,Price (Euros)
0,03.08.2022,0.02
1,04.08.2022,0.08
2,05.08.2022,0.04
3,07.08.2022,0.11
4,08.08.2022,0.37
5,09.08.2022,0.02
6,10.08.2022,0.07
7,11.08.2022,0.49
8,12.08.2022,0.03
9,13.08.2022,0.05
10,15.08.2022,0.02
11,16.08.2022,0.02
12,17.08.2022,0.02
13,18.08.2022,0.1
14,19.08.2022,0.02
15,23.08.2022,0.19
16,24.08.2022,0.02
17,27.08.2022,0.02
18,28.08.2022,0.2
19,29.08.2022,0.1
20,30.08.2022,0.19
21,01.09.2022,0.02
22,04.09.2022,0.02
23,05.09.2022,0.49
24,09.09.2022,0.02
25,14.09.2022,0.02
26,15.09.2022,0.02
27,19.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.02
30,25.09.2022,0.02
31,26.09.2022,0.02
32,27.09.2022,0.02
33,30.09.2022,0.02
34,01.10.2022,0.02
35,02.10.2022,0.02
36,04.10.2022,0.02
