,Date,Price (Euros)
0,22.07.2022,0.04
1,26.07.2022,0.1
2,27.07.2022,0.39
3,31.07.2022,0.15
4,01.08.2022,0.1
5,02.08.2022,0.12
6,03.08.2022,0.02
7,04.08.2022,0.02
8,06.08.2022,0.02
9,07.08.2022,0.05
10,09.08.2022,0.1
11,10.08.2022,0.1
12,11.08.2022,0.06
13,14.08.2022,0.02
14,17.08.2022,0.02
15,20.08.2022,0.02
16,21.08.2022,0.02
17,29.08.2022,0.02
18,02.09.2022,0.05
19,03.09.2022,0.02
20,04.09.2022,0.02
21,05.09.2022,0.02
22,06.09.2022,0.1
23,09.09.2022,0.02
24,11.09.2022,0.02
25,13.09.2022,0.1
26,14.09.2022,0.02
27,15.09.2022,0.05
28,20.09.2022,0.02
29,21.09.2022,0.09
30,22.09.2022,0.08
31,26.09.2022,0.39
32,27.09.2022,0.26
33,29.09.2022,0.11
34,30.09.2022,0.02
35,01.10.2022,0.02
