,Date,Price (Euros)
0,02.08.2022,0.04
1,03.08.2022,0.03
2,04.08.2022,0.02
3,06.08.2022,0.02
4,07.08.2022,0.07
5,09.08.2022,0.08
6,18.08.2022,0.17
7,19.08.2022,0.02
8,21.08.2022,0.02
9,22.08.2022,0.25
10,23.08.2022,0.06
11,24.08.2022,0.04
12,25.08.2022,0.05
13,26.08.2022,0.02
14,28.08.2022,0.05
15,29.08.2022,0.06
16,30.08.2022,0.05
17,01.09.2022,0.1
18,03.09.2022,0.75
19,04.09.2022,0.02
20,05.09.2022,0.03
21,06.09.2022,0.02
22,08.09.2022,0.24
23,09.09.2022,0.02
24,11.09.2022,0.02
25,15.09.2022,0.02
26,17.09.2022,0.05
27,18.09.2022,0.02
28,19.09.2022,0.03
29,20.09.2022,0.04
30,24.09.2022,0.02
31,25.09.2022,0.05
32,26.09.2022,0.02
33,28.09.2022,0.04
34,29.09.2022,0.02
35,30.09.2022,0.03
36,01.10.2022,0.04
37,02.10.2022,0.13
38,03.10.2022,0.02
39,04.10.2022,0.29
40,05.10.2022,0.1
