,Date,Price (Euros)
0,18.08.2022,0.04
1,20.08.2022,0.18
2,21.08.2022,0.23
3,22.08.2022,0.14
4,24.08.2022,0.06
5,25.08.2022,0.05
6,26.08.2022,0.15
7,28.08.2022,0.12
8,29.08.2022,0.05
9,30.08.2022,0.14
10,31.08.2022,0.16
11,01.09.2022,0.09
12,02.09.2022,0.15
13,03.09.2022,0.24
14,04.09.2022,0.22
15,05.09.2022,0.34
16,06.09.2022,0.1
17,07.09.2022,0.09
18,08.09.2022,0.13
19,10.09.2022,0.05
20,11.09.2022,0.12
21,12.09.2022,0.05
22,13.09.2022,0.04
23,14.09.2022,0.11
24,15.09.2022,0.06
25,16.09.2022,0.06
26,18.09.2022,0.05
27,19.09.2022,0.39
28,20.09.2022,0.09
29,21.09.2022,0.12
30,22.09.2022,0.21
31,23.09.2022,0.05
32,24.09.2022,0.06
33,25.09.2022,0.04
34,26.09.2022,0.48
35,27.09.2022,0.28
36,28.09.2022,0.23
37,29.09.2022,0.16
38,30.09.2022,0.22
39,01.10.2022,0.16
40,02.10.2022,0.11
41,03.10.2022,0.1
42,04.10.2022,0.2
43,05.10.2022,0.15
