,Date,Price (Euros)
0,09.08.2022,0.25
1,10.08.2022,0.15
2,12.08.2022,0.08
3,15.08.2022,0.31
4,17.08.2022,0.02
5,19.08.2022,0.02
6,20.08.2022,0.1
7,21.08.2022,0.05
8,22.08.2022,0.67
9,23.08.2022,0.02
10,26.08.2022,0.24
11,27.08.2022,0.09
12,29.08.2022,0.18
13,31.08.2022,0.08
14,01.09.2022,0.1
15,02.09.2022,0.05
16,03.09.2022,0.02
17,04.09.2022,0.06
18,05.09.2022,0.35
19,06.09.2022,0.02
20,07.09.2022,0.25
21,08.09.2022,0.17
22,09.09.2022,0.11
23,13.09.2022,0.02
24,14.09.2022,0.1
25,15.09.2022,0.15
26,16.09.2022,0.02
27,17.09.2022,0.2
28,20.09.2022,0.05
29,21.09.2022,0.2
30,23.09.2022,0.02
31,24.09.2022,0.09
32,25.09.2022,0.51
33,27.09.2022,0.28
34,28.09.2022,0.27
35,29.09.2022,0.05
36,30.09.2022,0.12
37,01.10.2022,0.17
38,03.10.2022,0.05
39,04.10.2022,0.16
40,05.10.2022,0.16
