,Date,Price (Euros)
0,09.08.2022,0.05
1,11.08.2022,0.07
2,12.08.2022,0.17
3,15.08.2022,0.16
4,18.08.2022,0.02
5,19.08.2022,0.07
6,20.08.2022,0.23
7,22.08.2022,0.02
8,23.08.2022,0.02
9,24.08.2022,0.02
10,26.08.2022,0.19
11,27.08.2022,0.19
12,30.08.2022,0.2
13,31.08.2022,0.02
14,01.09.2022,0.05
15,02.09.2022,0.39
16,03.09.2022,0.3
17,04.09.2022,0.17
18,05.09.2022,0.25
19,06.09.2022,0.02
20,08.09.2022,0.05
21,10.09.2022,0.1
22,13.09.2022,0.17
23,14.09.2022,0.06
24,16.09.2022,0.02
25,17.09.2022,0.22
26,18.09.2022,0.04
27,19.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.28
32,24.09.2022,0.04
33,25.09.2022,0.02
34,27.09.2022,0.09
35,28.09.2022,0.02
36,01.10.2022,0.05
37,02.10.2022,0.11
38,04.10.2022,0.25
