,Date,Price (Euros)
0,05.08.2022,0.15
1,07.08.2022,0.05
2,09.08.2022,0.08
3,10.08.2022,0.05
4,13.08.2022,0.1
5,14.08.2022,0.2
6,16.08.2022,0.19
7,18.08.2022,0.27
8,20.08.2022,0.05
9,22.08.2022,0.16
10,26.08.2022,0.14
11,27.08.2022,0.1
12,30.08.2022,0.05
13,31.08.2022,0.1
14,02.09.2022,0.26
15,03.09.2022,0.05
16,04.09.2022,0.42
17,06.09.2022,0.05
18,09.09.2022,0.04
19,10.09.2022,0.15
20,11.09.2022,0.09
21,13.09.2022,0.23
22,14.09.2022,0.1
23,15.09.2022,0.03
24,16.09.2022,0.25
25,17.09.2022,0.16
26,18.09.2022,0.23
27,19.09.2022,0.1
28,20.09.2022,0.1
29,21.09.2022,0.05
30,22.09.2022,0.16
31,25.09.2022,0.07
32,26.09.2022,0.36
33,27.09.2022,0.06
34,28.09.2022,0.03
35,01.10.2022,0.06
36,02.10.2022,0.02
37,03.10.2022,0.05
