,Date,Price (Euros)
0,25.07.2022,0.02
1,26.07.2022,0.14
2,28.07.2022,0.09
3,03.08.2022,0.02
4,06.08.2022,0.02
5,07.08.2022,0.02
6,08.08.2022,0.39
7,09.08.2022,0.18
8,13.08.2022,0.02
9,16.08.2022,0.2
10,18.08.2022,0.16
11,20.08.2022,0.02
12,21.08.2022,0.02
13,22.08.2022,0.06
14,23.08.2022,0.02
15,25.08.2022,0.1
16,29.08.2022,0.05
17,01.09.2022,0.02
18,03.09.2022,0.08
19,04.09.2022,0.02
20,05.09.2022,0.02
21,06.09.2022,0.02
22,07.09.2022,0.07
23,08.09.2022,0.09
24,09.09.2022,0.02
25,10.09.2022,0.02
26,11.09.2022,0.1
27,12.09.2022,0.24
28,18.09.2022,0.02
29,21.09.2022,0.02
30,22.09.2022,0.19
31,23.09.2022,0.09
32,24.09.2022,0.24
33,26.09.2022,0.1
34,27.09.2022,0.16
35,28.09.2022,0.02
36,29.09.2022,0.07
37,30.09.2022,0.02
38,01.10.2022,0.02
39,02.10.2022,0.05
40,05.10.2022,0.02
