,Date,Price (Euros)
0,14.08.2022,0.15
1,15.08.2022,0.11
2,16.08.2022,0.28
3,17.08.2022,0.55
4,18.08.2022,0.28
5,19.08.2022,0.14
6,20.08.2022,0.17
7,21.08.2022,0.22
8,22.08.2022,0.04
9,23.08.2022,0.07
10,24.08.2022,0.05
11,25.08.2022,0.02
12,26.08.2022,0.1
13,01.09.2022,0.19
14,02.09.2022,0.08
15,03.09.2022,0.05
16,04.09.2022,0.08
17,06.09.2022,0.15
18,08.09.2022,0.16
19,09.09.2022,0.1
20,11.09.2022,0.16
21,13.09.2022,0.06
22,14.09.2022,0.14
23,15.09.2022,0.28
24,16.09.2022,0.16
25,17.09.2022,0.16
26,18.09.2022,0.02
27,19.09.2022,0.24
28,20.09.2022,0.1
29,21.09.2022,0.02
30,22.09.2022,0.19
31,24.09.2022,0.06
32,25.09.2022,0.19
33,26.09.2022,0.25
34,27.09.2022,0.14
35,28.09.2022,0.16
36,29.09.2022,0.24
37,01.10.2022,0.1
38,02.10.2022,0.14
39,03.10.2022,0.37
40,04.10.2022,0.2
41,05.10.2022,0.03
